Title,Location,Price,Area,Rooms,Interior
Apartment IJburglaan 685,            1087 BS Amsterdam (IJburg West)        ,"                €1,695 per month            ",129 m²,3 rooms,Upholstered
Apartment Het Breed,            1025 HV Amsterdam (Buikslotermeer)        ,"                €1,850 per month            ",110 m²,3 rooms,Furnished
Apartment Slangenburg,            1082 JV Amsterdam (Buitenveldert-West)        ,"                €2,750 per month            ",120 m²,4 rooms,Furnished
Apartment Carolina MacGillavrylaan,            1098 XA Amsterdam (Middenmeer)        ,"                €2,500 per month            ",90 m²,3 rooms,Furnished
Apartment Frans van Mierisstraat 99 II,            1071 RN Amsterdam (Museumkwartier)        ,"                €2,100 per month            ",75 m²,2 rooms,Upholstered
Apartment Omval,            1096 HW Amsterdam (Omval/Overamstel)        ,"                €2,400 per month            ",117 m²,3 rooms,Furnished
Apartment President Kennedylaan,            1079 NC Amsterdam (Rijnbuurt)        ,"                €2,575 per month            ",115 m²,3 rooms,Furnished
Apartment Gouden Leeuw 247,"            1103 KE Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,250 per month            ",53 m²,2 rooms,Furnished
Apartment Honthorststraat 14 2,            1071 DE Amsterdam (Museumkwartier)        ,"                €3,500 per month            ",93 m²,3 rooms,Upholstered
House Moestuinlaan,            1036 KD Amsterdam (Tuindorp Oostzaan)        ,"                €4,500 per month            ",200 m²,10 rooms,Upholstered or furnished
Apartment Dusartstraat,            1072 HR Amsterdam (Oude Pijp)        ,"                €1,350 per month            ",54 m²,2 rooms,Furnished
Apartment Frederiksplein 40 B,            1017 XN Amsterdam (De Weteringschans)        ,"                €3,400 per month            ",125 m²,3 rooms,Upholstered
Apartment Nieuwezijds Voorburgwal,            1012 RT Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €5,000 per month            ",180 m²,4 rooms,Furnished
Apartment Brouwersgracht 280 2,            1013 HG Amsterdam (Haarlemmerbuurt)        ,"                €2,300 per month            ",80 m²,3 rooms,Furnished
Apartment Anna Blamansingel 271,"            1102 SX Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,600 per month            ",49 m²,2 rooms,Furnished
Apartment H. Cleyndertweg 359,            1025 DR Amsterdam (Buikslotermeer)        ,"                €1,700 per month            ",88 m²,3 rooms,Upholstered or furnished
Apartment Jan Zijvertszstraat,            1067 XH Amsterdam (Geuzenveld)        ,"                €1,500 per month            ",59 m²,3 rooms,Upholstered
